,My fixed
multiple_average_energy,-315.92
multiple_final_energy,-340.0
multiple_time,33173.671917676926
multiple_total_time,33173.68434548378
single_energy,-308.0
single_energy_final,-340.0
single_time,18256.560536623
single_total_time,18256.571148872375
