,My fixed
multiple_average_energy,-119.19
multiple_final_energy,-132.0
multiple_time,4448.608007907867
multiple_total_time,4448.613067150116
single_energy,-113.0
single_energy_final,-132.0
single_time,4312.692080497742
single_total_time,4312.6991131305695
