,My fixed
multiple_average_energy,-345.3
multiple_final_energy,-379.0
multiple_time,15058.588041305542
multiple_total_time,15058.596340417862
single_energy,-339.0
single_energy_final,-366.0
single_time,15089.397114753723
single_total_time,15089.403523683548
