,My fixed
multiple_average_energy,-5.51
multiple_final_energy,-6.0
multiple_time,1648.158828496933
multiple_total_time,1648.160826921463
single_energy,-6.0
single_energy_final,-6.0
single_time,1366.0211312770844
single_total_time,1366.0221359729767
