,My fixed
multiple_average_energy,-228.48
multiple_final_energy,-251.0
multiple_time,10911.667560577393
multiple_total_time,10911.68090891838
single_energy,-229.0
single_energy_final,-248.0
single_time,7728.202666044235
single_total_time,7728.212546825409
