,My fixed
multiple_average_energy,-417.49
multiple_final_energy,-456.0
multiple_time,24450.460139513016
multiple_total_time,24450.47822546959
single_energy,-415.0
single_energy_final,-451.0
single_time,12148.713356018066
single_total_time,12148.719862937927
