,My fixed
multiple_average_energy,-507.48
multiple_final_energy,-554.0
multiple_time,24289.03720188141
multiple_total_time,24289.04420232773
single_energy,-534.0
single_energy_final,-554.0
single_time,23101.020636320114
single_total_time,23101.044305086136
