,My fixed
multiple_average_energy,-19.74
multiple_final_energy,-22.0
multiple_time,3156.493579864502
multiple_total_time,3156.495587348938
single_energy,-19.0
single_energy_final,-22.0
single_time,1811.7270193099976
single_total_time,1811.7290198802948
