,My fixed
multiple_average_energy,-35.32
multiple_final_energy,-38.0
multiple_time,3088.626833677292
multiple_total_time,3088.6350865364075
single_energy,-34.0
single_energy_final,-38.0
single_time,1555.1530392169952
single_total_time,1555.1575655937195
