,My fixed
multiple_average_energy,-95.18
multiple_final_energy,-106.0
multiple_time,3387.479545354843
multiple_total_time,3387.4855914115906
single_energy,-100.0
single_energy_final,-106.0
single_time,2094.117207765579
single_total_time,2094.1212515830994
