,My fixed
multiple_average_energy,-47.68
multiple_final_energy,-53.0
multiple_time,2871.460460424423
multiple_total_time,2871.465457201004
single_energy,-50.0
single_energy_final,-52.0
single_time,1937.8922700881958
single_total_time,1937.8952691555023
