,My fixed
multiple_average_energy,-65.44
multiple_final_energy,-76.0
multiple_time,3283.8910641670227
multiple_total_time,3283.8950595855713
single_energy,-67.0
single_energy_final,-76.0
single_time,2184.3149783611298
single_total_time,2184.3195230960846
