,My fixed
multiple_average_energy,-144.29
multiple_final_energy,-160.0
multiple_time,4266.701390743256
multiple_total_time,4266.706385612488
single_energy,-154.0
single_energy_final,-160.0
single_time,2561.5634911060333
single_total_time,2561.5709886550903
