,My fixed
multiple_average_energy,-167.18
multiple_final_energy,-185.0
multiple_time,4444.488777399063
multiple_total_time,4444.496784448624
single_energy,-159.0
single_energy_final,-185.0
single_time,2584.80903506279
single_total_time,2584.8145713806152
