,My fixed
multiple_average_energy,-502.83
multiple_final_energy,-539.0
multiple_time,10212.883128404617
multiple_total_time,10212.892933130264
single_energy,-523.0
single_energy_final,-539.0
single_time,4443.533057689667
single_total_time,4443.54669213295
