,My fixed
multiple_average_energy,-260.58
multiple_final_energy,-289.0
multiple_time,11557.601930379868
multiple_total_time,11557.612788200378
single_energy,-287.0
single_energy_final,-287.0
single_time,7770.049079656601
single_total_time,7770.054640054703
