0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
01011001 000010111 0
01010010 000111101 0
01010010 000101000 0
01010000 000101010 1
00111011 000100110 1
00010100 000100000 1
00011100 000110101 1
01010000 010001011 1
00111101 001011000 0
00101110 000011011 1
00101111 001001001 1
00111100 001010010 0
01001000 000001001 0
00011100 000001111 0
01001111 001110100 0
01000101 000010110 1
00011011 000110001 0
01001101 000101011 1
00111111 000110011 1
01010111 001100010 0
01010011 001100001 0
00111100 001110110 1
00111100 001000101 0
00101000 001000011 1
01010110 010000000 0
01000101 000001100 1
00001110 000011100 1
01010001 001010001 0
01000100 000010001 0
00001000 000000010 0
01001010 001111001 0
00111100 000010011 1
01011001 001110110 0
00110101 001010010 1
01001110 000110110 1
01001110 001000011 1
00011011 000110001 1
00011100 000001110 0
01000110 001000111 0
01000100 000101000 0
01010010 001100100 1
01000010 000110111 1
01001111 001001111 0
00000110 000000110 0
00100111 000111110 0
00110010 000001101 1
00111111 000100101 0
00001010 000001111 1
01011000 010011101 0
01000011 001011011 0
00110111 000000110 1
01000111 001010011 1
00110010 001001110 0
00110000 001000111 1
01010000 000101010 0
01001110 001011100 1
00111001 000111101 0
01000100 000101111 1
01010000 001101101 1
00100110 000000101 0
01010010 001011001 1
00001000 000001001 1
00011011 000011100 1
01010011 001110110 0
01011010 001010011 1
00110101 000010100 0
00110100 000011001 0
00110000 000001010 1
00110101 000111000 0
01010100 000010011 1
00110101 001101010 0
00100100 000111011 0
01001100 000010101 0
00010001 000011101 1
01010101 001110000 1
01001100 001000010 0
00111101 001011100 1
00110101 001011011 0
01010001 000111100 0
01000110 010000010 0
00111111 000110111 1
00000110 000000110 1
00101000 000010010 1
01000101 001101011 1
00110011 000111111 1
01001110 010010111 0
00010110 000011110 1
00010100 000100011 1
00110110 001000101 1
01001001 001100000 1
00110111 001000101 0
00110100 000100110 0
00110011 000011011 1
01001000 000100111 1
00110010 001011000 1
00100001 000011100 1
00111110 001011001 0
01000001 000001101 0
01000111 000111000 0
00011000 000001111 1
00001000 000001101 0
01010111 001100110 0
00111011 000000011 0
00001100 000010111 1
